Filename,Title,Usecase,Status
water_supply_systems___impurity_limits.md,Water Supply Systems - Impurity Limits,calculator,done
water_supply_systems___online_design_application.md,Water Supply Systems - Online Design Application,datatable,done
water_systems___maximum_flow_velocities.md,Water Systems - Maximum Flow Velocities,datatable,done
water_thermal_properties___density__heat_capacity_.md,"Water Thermal Properties – Density, Heat Capacity, and Conductivity",datatable,done
water_vapor___specific_heat_vs__temperature.md,Water Vapor - Specific Heat vs. Temperature,chart-table,done
water_vapor_saturation_pressure__data__tables___ca.md,"Water Vapor Saturation Pressure: Data, Tables & Calculator",datatable,done
water_vs__steam___critical_and_triple_points.md,Water vs. Steam - Critical and Triple Points,none,pending
weber_number.md,Weber Number,none,pending
weight_of_beams___stress_and_strain.md,Weight of Beams - Stress and Strain,none,pending
weight_vs__gauges_chart.md,Weight vs. Gauges Chart,none,pending
weir_diaphragm_valves___flow_coefficients_and_flow.md,Weir Diaphragm Valves - Flow Coefficients and Flow Factors,none,pending
welding_temperatures.md,Welding Temperatures,none,pending
wet_bulb_globe_temperature__wbgt_.md,Wet Bulb Globe Temperature (WBGT),none,pending
wet_steam___quality_vs__dryness_fractions.md,Wet Steam - Quality vs. Dryness Fractions,none,pending
winches.md,Winches,none,pending
wind_chill_index.md,Wind Chill Index,none,pending
wind_energy.md,Wind Energy,none,pending
wind_load_vs__wind_speed.md,Wind Load vs. Wind Speed,none,pending
wind_power.md,Wind Power,none,pending
wind_shear.md,Wind Shear,none,pending
wind_turbine_power_calculator.md,Wind Turbine Power Calculator,none,pending
wire_rope_slings.md,Wire Rope Slings,none,pending
wire_ropes___strengths.md,Wire Ropes - Strengths,none,pending
wire_size_guide__square_mm_to_diameter_conversion_.md,Wire Size Guide: Square mm to Diameter Conversion Chart,none,pending
wood___combustion_heat_values.md,Wood - Combustion Heat Values,none,pending
wood___compressive_strength_vs__moisture_content.md,Wood - Compressive Strength vs. Moisture Content,none,pending
wood___density_vs__moisture_content.md,Wood - Density vs. Moisture Content,none,pending
wood_and_bio_mass___combustion_heat.md,Wood and Bio Mass - Combustion Heat,none,pending
wood_hardness.md,Wood Hardness,none,pending
wood_screws___withdrawal_force.md,Wood Screws - Withdrawal Force,none,pending
wood_species___moisture_content_and_weight.md,Wood Species - Moisture Content and Weight,none,pending
work_done_by_force.md,Work done by Force,none,pending
wrench_size_conversion_chart___metric__mm__to_sae_.md,Wrench Size Conversion Chart – Metric (mm) to SAE (Inches),none,pending
wrought_and_cast_copper_alloys___properties_databa.md,Wrought and Cast Copper Alloys - Properties Database,none,pending
yard_fixtures___water_consumption.md,Yard Fixtures - Water Consumption,none,pending
yield_structure_of_crude_oils_with_increasing_dens.md,Yield Structure of Crude Oils with Increasing Density of Crude,none,pending
young_s_modulus_of_elasticity___values_for_common_.md,Young’s Modulus of Elasticity – Values for Common Materials,none,pending
zeroth_law_of_temperature.md,Zeroth Law of Temperature,none,pending
,,,pending
